Source,Destination,Avg Latency (ms),Min Latency (ms),Max Latency (ms),Source Lat,Source Lon,Dest Lat,Dest Lon
Chicago,Sydney,190.9,171.9,219.6,41.8781,-87.6298,-33.8688,151.2093
Chicago,Tokyo,131.8,118.6,151.5,41.8781,-87.6298,35.6762,139.6503
Dallas,Frankfurt,108.2,97.4,124.4,32.7767,-96.797,50.1109,8.6821
Dallas,Johannesburg,188.6,169.7,216.9,32.7767,-96.797,-26.2041,28.0473
Dallas,London,100.5,90.5,115.6,32.7767,-96.797,51.5074,-0.1278
Dallas,Los Angeles,30.1,27.1,34.6,32.7767,-96.797,33.9425,-118.4081
Dallas,New York,32.6,29.3,37.5,32.7767,-96.797,40.7128,-74.006
Dallas,Sao Paulo,107.7,96.9,123.9,32.7767,-96.797,-23.5505,-46.6333
Dallas,Singapore,200.6,180.5,230.7,32.7767,-96.797,1.3521,103.8198
Dallas,Sydney,177.7,160.0,204.4,32.7767,-96.797,-33.8688,151.2093
Dallas,Tokyo,135.0,121.5,155.3,32.7767,-96.797,35.6762,139.6503
Delhi,Frankfurt,81.3,73.1,93.5,28.7041,77.1025,50.1109,8.6821
Delhi,Johannesburg,105.5,95.0,121.4,28.7041,77.1025,-26.2041,28.0473
Delhi,London,88.7,79.8,102.0,28.7041,77.1025,51.5074,-0.1278
Delhi,Los Angeles,165.8,149.2,190.6,28.7041,77.1025,33.9425,-118.4081
Delhi,New York,151.8,136.6,174.5,28.7041,77.1025,40.7128,-74.006
Delhi,Sao Paulo,185.2,166.7,213.0,28.7041,77.1025,-23.5505,-46.6333
Delhi,Singapore,57.0,51.3,65.5,28.7041,77.1025,1.3521,103.8198
Delhi,Sydney,135.5,122.0,155.9,28.7041,77.1025,-33.8688,151.2093
Delhi,Tokyo,78.0,70.2,89.7,28.7041,77.1025,35.6762,139.6503
Frankfurt,Johannesburg,113.7,102.4,130.8,50.1109,8.6821,-26.2041,28.0473
Frankfurt,London,9.4,8.4,10.8,50.1109,8.6821,51.5074,-0.1278
Frankfurt,Los Angeles,121.5,109.4,139.7,50.1109,8.6821,33.9425,-118.4081
Frankfurt,Madrid,17.5,15.7,20.1,50.1109,8.6821,40.4168,-3.7038
Frankfurt,Manchester,11.4,10.2,13.1,50.1109,8.6821,53.4808,-2.2426
Frankfurt,Melbourne,209.0,188.1,240.4,50.1109,8.6821,-37.8136,144.9631
Frankfurt,Mexico City,124.5,112.0,143.2,50.1109,8.6821,19.4326,-99.1332
Frankfurt,Miami,102.1,91.9,117.4,50.1109,8.6821,25.7617,-80.1918
Frankfurt,Mumbai,87.0,78.3,100.1,50.1109,8.6821,19.076,72.8777
Frankfurt,New York,82.5,74.3,94.9,50.1109,8.6821,40.7128,-74.006
Frankfurt,Osaka,120.5,108.4,138.5,50.1109,8.6821,34.6937,135.5023
Frankfurt,Paris,7.8,7.0,8.9,50.1109,8.6821,48.8566,2.3522
Frankfurt,Santiago,156.4,140.7,179.8,50.1109,8.6821,-33.4489,-70.6693
Frankfurt,Sao Paulo,127.9,115.1,147.0,50.1109,8.6821,-23.5505,-46.6333
Frankfurt,Seattle,107.3,96.5,123.3,50.1109,8.6821,47.6062,-122.3321
Frankfurt,Seoul,111.9,100.7,128.7,50.1109,8.6821,37.5665,126.978
Frankfurt,Singapore,133.2,119.9,153.2,50.1109,8.6821,1.3521,103.8198
Frankfurt,Stockholm,14.9,13.4,17.1,50.1109,8.6821,59.3293,18.0686
Frankfurt,Sydney,211.0,189.9,242.7,50.1109,8.6821,-33.8688,151.2093
Frankfurt,Tel Aviv,41.7,37.6,48.0,50.1109,8.6821,32.0853,34.7818
Frankfurt,Tokyo,121.6,109.5,139.9,50.1109,8.6821,35.6762,139.6503
Frankfurt,Toronto,84.2,75.7,96.8,50.1109,8.6821,43.6532,-79.3832
Frankfurt,Warsaw,11.9,10.7,13.7,50.1109,8.6821,52.2297,21.0122
Johannesburg,London,118.4,106.5,136.1,-26.2041,28.0473,51.5074,-0.1278
Johannesburg,Los Angeles,213.6,192.3,245.7,-26.2041,28.0473,33.9425,-118.4081
Johannesburg,Madrid,106.3,95.7,122.2,-26.2041,28.0473,40.4168,-3.7038
Johannesburg,Manchester,121.6,109.5,139.9,-26.2041,28.0473,53.4808,-2.2426
Johannesburg,Melbourne,134.1,120.7,154.2,-26.2041,28.0473,-37.8136,144.9631
Johannesburg,Mexico City,187.3,168.6,215.4,-26.2041,28.0473,19.4326,-99.1332
Johannesburg,Miami,166.8,150.1,191.8,-26.2041,28.0473,25.7617,-80.1918
Johannesburg,Mumbai,92.3,83.1,106.1,-26.2041,28.0473,19.076,72.8777
Johannesburg,New York,165.5,148.9,190.3,-26.2041,28.0473,40.7128,-74.006
Johannesburg,Osaka,169.3,152.4,194.7,-26.2041,28.0473,34.6937,135.5023
Johannesburg,Paris,114.1,102.7,131.2,-26.2041,28.0473,48.8566,2.3522
Johannesburg,Santiago,119.7,107.7,137.7,-26.2041,28.0473,-33.4489,-70.6693
Johannesburg,Sao Paulo,97.9,88.1,112.5,-26.2041,28.0473,-23.5505,-46.6333
Johannesburg,Seattle,211.3,190.2,243.0,-26.2041,28.0473,47.6062,-122.3321
Johannesburg,Seoul,161.1,145.0,185.3,-26.2041,28.0473,37.5665,126.978
Johannesburg,Singapore,113.2,101.9,130.2,-26.2041,28.0473,1.3521,103.8198
Johannesburg,Stockholm,124.4,112.0,143.1,-26.2041,28.0473,59.3293,18.0686
Johannesburg,Sydney,143.0,128.7,164.5,-26.2041,28.0473,-33.8688,151.2093
Johannesburg,Tel Aviv,86.5,77.9,99.5,-26.2041,28.0473,32.0853,34.7818
Johannesburg,Tokyo,174.2,156.8,200.3,-26.2041,28.0473,35.6762,139.6503
Johannesburg,Toronto,171.7,154.6,197.5,-26.2041,28.0473,43.6532,-79.3832
Johannesburg,Warsaw,114.4,102.9,131.5,-26.2041,28.0473,52.2297,21.0122
London,Los Angeles,114.7,103.2,131.9,51.5074,-0.1278,33.9425,-118.4081
London,Madrid,15.6,14.1,18.0,51.5074,-0.1278,40.4168,-3.7038
London,Manchester,5.6,5.1,6.5,51.5074,-0.1278,53.4808,-2.2426
London,Melbourne,216.3,194.7,248.7,51.5074,-0.1278,-37.8136,144.9631
London,Mexico City,116.6,104.9,134.1,51.5074,-0.1278,19.4326,-99.1332
London,Miami,94.1,84.7,108.2,51.5074,-0.1278,25.7617,-80.1918
London,Mumbai,94.9,85.4,109.1,51.5074,-0.1278,19.076,72.8777
London,New York,74.6,67.2,85.8,51.5074,-0.1278,40.7128,-74.006
London,Osaka,123.7,111.4,142.3,51.5074,-0.1278,34.6937,135.5023
London,Paris,6.4,5.8,7.4,51.5074,-0.1278,48.8566,2.3522
London,Santiago,150.9,135.8,173.5,51.5074,-0.1278,-33.4489,-70.6693
London,Sao Paulo,123.7,111.3,142.3,51.5074,-0.1278,-23.5505,-46.6333
London,Seattle,101.2,91.1,116.4,51.5074,-0.1278,47.6062,-122.3321
London,Seoul,115.7,104.1,133.1,51.5074,-0.1278,37.5665,126.978
London,Singapore,140.6,126.5,161.7,51.5074,-0.1278,1.3521,103.8198
London,Stockholm,17.3,15.6,19.9,51.5074,-0.1278,59.3293,18.0686
London,Sydney,217.4,195.7,250.0,51.5074,-0.1278,-33.8688,151.2093
London,Tel Aviv,49.5,44.5,56.9,51.5074,-0.1278,32.0853,34.7818
London,Tokyo,124.5,112.0,143.2,51.5074,-0.1278,35.6762,139.6503
London,Toronto,76.4,68.8,87.9,51.5074,-0.1278,43.6532,-79.3832
London,Warsaw,17.5,15.7,20.1,51.5074,-0.1278,52.2297,21.0122
Los Angeles,Madrid,122.3,110.0,140.6,33.9425,-118.4081,40.4168,-3.7038
Los Angeles,Manchester,111.5,100.4,128.3,33.9425,-118.4081,53.4808,-2.2426
Los Angeles,Melbourne,164.4,148.0,189.1,33.9425,-118.4081,-37.8136,144.9631
Los Angeles,Mexico City,36.2,32.6,41.6,33.9425,-118.4081,19.4326,-99.1332
Los Angeles,Miami,52.2,46.9,60.0,33.9425,-118.4081,25.7617,-80.1918
Los Angeles,Mumbai,180.0,162.0,207.0,33.9425,-118.4081,19.076,72.8777
Los Angeles,New York,54.4,49.0,62.6,33.9425,-118.4081,40.7128,-74.006
Los Angeles,Osaka,119.8,107.8,137.8,33.9425,-118.4081,34.6937,135.5023
Los Angeles,Paris,118.8,106.9,136.6,33.9425,-118.4081,48.8566,2.3522
Los Angeles,Santiago,117.5,105.7,135.1,33.9425,-118.4081,-33.4489,-70.6693
Los Angeles,Sao Paulo,128.9,116.0,148.3,33.9425,-118.4081,-23.5505,-46.6333
Los Angeles,Seattle,18.5,16.7,21.3,33.9425,-118.4081,47.6062,-122.3321
Los Angeles,Seoul,124.8,112.3,143.5,33.9425,-118.4081,37.5665,126.978
Los Angeles,Singapore,181.4,163.3,208.7,33.9425,-118.4081,1.3521,103.8198
Los Angeles,Stockholm,116.2,104.6,133.6,33.9425,-118.4081,59.3293,18.0686
Los Angeles,Sydney,155.7,140.1,179.0,33.9425,-118.4081,-33.8688,151.2093
Los Angeles,Tel Aviv,156.9,141.2,180.5,33.9425,-118.4081,32.0853,34.7818
Los Angeles,Tokyo,115.2,103.7,132.5,33.9425,-118.4081,35.6762,139.6503
Los Angeles,Toronto,48.9,44.0,56.3,33.9425,-118.4081,43.6532,-79.3832
Los Angeles,Warsaw,125.7,113.1,144.5,33.9425,-118.4081,52.2297,21.0122
Madrid,New York,77.1,69.4,88.7,40.4168,-3.7038,40.7128,-74.006
Madrid,Sao Paulo,109.8,98.8,126.3,40.4168,-3.7038,-23.5505,-46.6333
Madrid,Singapore,147.3,132.5,169.3,40.4168,-3.7038,1.3521,103.8198
Madrid,Sydney,226.1,203.5,260.0,40.4168,-3.7038,-33.8688,151.2093
Madrid,Tokyo,139.5,125.6,160.4,40.4168,-3.7038,35.6762,139.6503
Manchester,New York,72.1,64.9,82.9,53.4808,-2.2426,40.7128,-74.006
Manchester,Sao Paulo,124.6,112.2,143.3,53.4808,-2.2426,-23.5505,-46.6333
Manchester,Singapore,141.7,127.6,163.0,53.4808,-2.2426,1.3521,103.8198
Manchester,Sydney,217.5,195.7,250.1,53.4808,-2.2426,-33.8688,151.2093
Manchester,Tokyo,123.1,110.7,141.5,53.4808,-2.2426,35.6762,139.6503
Melbourne,New York,213.4,192.1,245.4,-37.8136,144.9631,40.7128,-74.006
Melbourne,Sao Paulo,168.6,151.7,193.8,-37.8136,144.9631,-23.5505,-46.6333
Melbourne,Singapore,80.8,72.7,92.9,-37.8136,144.9631,1.3521,103.8198
Melbourne,Sydney,10.1,9.1,11.7,-37.8136,144.9631,-33.8688,151.2093
Melbourne,Tokyo,107.4,96.6,123.5,-37.8136,144.9631,35.6762,139.6503
Mexico City,New York,47.0,42.3,54.0,19.4326,-99.1332,40.7128,-74.006
Mexico City,Sao Paulo,97.9,88.1,112.6,19.4326,-99.1332,-23.5505,-46.6333
Mexico City,Singapore,212.6,191.3,244.5,19.4326,-99.1332,1.3521,103.8198
Mexico City,Sydney,167.2,150.4,192.2,19.4326,-99.1332,-33.8688,151.2093
Mexico City,Tokyo,146.4,131.7,168.3,19.4326,-99.1332,35.6762,139.6503
Miami,New York,20.6,18.5,23.7,25.7617,-80.1918,40.7128,-74.006
Miami,Sao Paulo,87.1,78.4,100.1,25.7617,-80.1918,-23.5505,-46.6333
Miami,Singapore,217.1,195.4,249.7,25.7617,-80.1918,1.3521,103.8198
Miami,Sydney,192.8,173.5,221.7,25.7617,-80.1918,-33.8688,151.2093
Miami,Tokyo,155.0,139.5,178.3,25.7617,-80.1918,35.6762,139.6503
Mumbai,New York,161.7,145.6,186.0,19.076,72.8777,40.7128,-74.006
Mumbai,Sao Paulo,177.2,159.5,203.8,19.076,72.8777,-23.5505,-46.6333
Mumbai,Singapore,53.8,48.4,61.9,19.076,72.8777,1.3521,103.8198
Mumbai,Sydney,132.0,118.8,151.8,19.076,72.8777,-33.8688,151.2093
Mumbai,Tokyo,89.0,80.1,102.4,19.076,72.8777,35.6762,139.6503
New York,Osaka,143.8,129.4,165.4,40.7128,-74.006,34.6937,135.5023
New York,Paris,78.0,70.2,89.7,40.7128,-74.006,48.8566,2.3522
New York,Santiago,108.2,97.4,124.4,40.7128,-74.006,-33.4489,-70.6693
New York,Sao Paulo,101.1,91.0,116.2,40.7128,-74.006,-23.5505,-46.6333
New York,Seattle,53.3,48.0,61.3,40.7128,-74.006,47.6062,-122.3321
New York,Seoul,143.2,128.8,164.6,40.7128,-74.006,37.5665,126.978
New York,Singapore,196.7,177.0,226.2,40.7128,-74.006,1.3521,103.8198
New York,Stockholm,84.0,75.6,96.6,40.7128,-74.006,59.3293,18.0686
New York,Sydney,204.9,184.4,235.6,40.7128,-74.006,-33.8688,151.2093
New York,Tel Aviv,118.9,107.0,136.8,40.7128,-74.006,32.0853,34.7818
New York,Tokyo,140.6,126.6,161.7,40.7128,-74.006,35.6762,139.6503
New York,Toronto,8.5,7.7,9.8,40.7128,-74.006,43.6532,-79.3832
New York,Warsaw,90.7,81.6,104.3,40.7128,-74.006,52.2297,21.0122
Osaka,Sao Paulo,239.5,215.5,275.4,34.6937,135.5023,-23.5505,-46.6333
Osaka,Singapore,66.9,60.2,76.9,34.6937,135.5023,1.3521,103.8198
Osaka,Sydney,102.5,92.2,117.8,34.6937,135.5023,-33.8688,151.2093
Osaka,Tokyo,6.9,6.2,8.0,34.6937,135.5023,35.6762,139.6503
Paris,Sao Paulo,122.5,110.3,140.9,48.8566,2.3522,-23.5505,-46.6333
Paris,Singapore,139.1,125.2,160.0,48.8566,2.3522,1.3521,103.8198
Paris,Sydney,217.0,195.3,249.6,48.8566,2.3522,-33.8688,151.2093
Paris,Tokyo,126.4,113.8,145.4,48.8566,2.3522,35.6762,139.6503
Santiago,Sao Paulo,37.3,33.6,42.9,-33.4489,-70.6693,-23.5505,-46.6333
Santiago,Singapore,210.0,189.0,241.5,-33.4489,-70.6693,1.3521,103.8198
Santiago,Sydney,146.8,132.2,168.9,-33.4489,-70.6693,-33.8688,151.2093
Santiago,Tokyo,220.5,198.4,253.6,-33.4489,-70.6693,35.6762,139.6503
Sao Paulo,Seattle,141.5,127.3,162.7,-23.5505,-46.6333,47.6062,-122.3321
Sao Paulo,Seoul,234.3,210.8,269.4,-23.5505,-46.6333,37.5665,126.978
Sao Paulo,Singapore,204.8,184.4,235.6,-23.5505,-46.6333,1.3521,103.8198
Sao Paulo,Stockholm,141.6,127.4,162.8,-23.5505,-46.6333,59.3293,18.0686
Sao Paulo,Sydney,172.0,154.8,197.8,-23.5505,-46.6333,-33.8688,151.2093
Sao Paulo,Tel Aviv,137.8,124.0,158.4,-23.5505,-46.6333,32.0853,34.7818
Sao Paulo,Tokyo,236.7,213.0,272.2,-23.5505,-46.6333,35.6762,139.6503
Sao Paulo,Toronto,107.3,96.6,123.4,-23.5505,-46.6333,43.6532,-79.3832
Sao Paulo,Warsaw,138.3,124.4,159.0,-23.5505,-46.6333,52.2297,21.0122
Seattle,Singapore,167.2,150.5,192.3,47.6062,-122.3321,1.3521,103.8198
Seattle,Sydney,160.9,144.8,185.0,47.6062,-122.3321,-33.8688,151.2093
Seattle,Tokyo,101.3,91.1,116.4,47.6062,-122.3321,35.6762,139.6503
Seoul,Singapore,63.4,57.1,72.9,37.5665,126.978,1.3521,103.8198
Seoul,Sydney,109.1,98.2,125.5,37.5665,126.978,-33.8688,151.2093
Seoul,Tokyo,14.5,13.0,16.7,37.5665,126.978,35.6762,139.6503
Singapore,Stockholm,125.5,112.9,144.3,1.3521,103.8198,59.3293,18.0686
Singapore,Sydney,83.8,75.4,96.4,1.3521,103.8198,-33.8688,151.2093
Singapore,Tel Aviv,104.5,94.1,120.2,1.3521,103.8198,32.0853,34.7818
Singapore,Tokyo,71.4,64.3,82.1,1.3521,103.8198,35.6762,139.6503
Singapore,Toronto,192.5,173.3,221.4,1.3521,103.8198,43.6532,-79.3832
Singapore,Warsaw,122.5,110.2,140.9,1.3521,103.8198,52.2297,21.0122
Stockholm,Sydney,200.0,180.0,229.9,59.3293,18.0686,-33.8688,151.2093
Stockholm,Tokyo,107.1,96.4,123.2,59.3293,18.0686,35.6762,139.6503
Sydney,Tel Aviv,182.3,164.0,209.6,-33.8688,151.2093,32.0853,34.7818
Sydney,Tokyo,102.8,92.5,118.2,-33.8688,151.2093,35.6762,139.6503
Sydney,Toronto,199.6,179.6,229.5,-33.8688,151.2093,43.6532,-79.3832
Sydney,Warsaw,199.9,179.9,229.9,-33.8688,151.2093,52.2297,21.0122
Tel Aviv,Tokyo,119.5,107.5,137.4,32.0853,34.7818,35.6762,139.6503
Tokyo,Toronto,134.4,121.0,154.6,35.6762,139.6503,43.6532,-79.3832
Tokyo,Warsaw,112.2,101.0,129.1,35.6762,139.6503,52.2297,21.0122
